ID,PEAKID,URL,NAME,ALTERNATE_NAMES,LAT,LON,ELEVATION_M,ELEVATION_FT,STATUS,FIRST_ASCENT_ON,FIRST_ASCENT_BY,DESCRIPTION,PROVINCE,DISTRICT,MUNICIPALITY,RANGE,NEPALESE_FEES,FOREIGNER_FEES
ABIM,ABIM,https://nepalhimalpeakprofile.org/abi,Abi,,27.98333333333333,86.72361111111111,6043.0,19826.0,Opened,,,"Abi, situated in the Khumbu Himal range, is located in the Mahalangur Solukhumbu region (eastern part) of Nepal. It is also known as Cholo and Kangchung from the pass that reaches it – the Kangchung La. Mt Abi is considered as a perfect training mountain for ice climbing and high-altitude acclimatization as it requires careful ascent up towards the technical ridges in its peak.",Province 1,Solukhumbu,Khumbu Pasang Lhamu,Mahalangur,Spring 4000 (NRs),Spring 250 (USD)
ACHN,ACHN,https://nepalhimalpeakprofile.org/aichyn,Aichyn,,30.27083333333333,81.85972222222222,6055.0,19865.0,Opened,,,"Aichyn peak is situated in the Chandi sub range of the Nepalese Himalayas. It has the second lowest elevation in the Chandi sub range which include Nyalu, Ganglung Gangri I , Chandi Himal, Changwathang, Aichyn and Ardang in the order highest to lowest in elevation. Aichyn was one of the 25 peaks attempted to climb after the devastating earthquak on 25th April.",Karnali Pradesh,Humla,Namkha,Chanwathan,Spring 4000 (NRs),Spring 250 (USD)
AGLE,TENE,https://nepalhimalpeakprofile.org/agole-east,Agole East,,27.854722222222225,86.56888888888888,6675.0,21899.0,Opened,,,,Province 1,Solukhumbu,Khumbu Pasang Lhamu,Rolwaling,Spring 5000 (NRs),Spring 400 (USD)
AMAD,AMAD,https://nepalhimalpeakprofile.org/ama-dablam,Ama Dablam,Amai Dablang,27.861804,86.860078,6814.0,22365.0,Opened,13/03/1961,"Mike Gill,Wally Romanes,Barry Bishop,Michael Ward","Ama Dablam, also known as Amai Dablang, popularly known as “Matterhorn of the Himalay”, is one of the well-known peaks in the Himalaya range. It is the third most popular Himalayan peak permitted for expedition. It belongs to the Mahalangur sub range of the Nepalese Himalayas. The name Ama Dablam mean “Mother’s necklace”. The long ridges on its either side are considered the arms of mother (ama) wich are protecting her child and the hanging glaciers are considered the dablam, which mean a traditional double pendant with the god’s picture imprinted on it, much worn by the Sherpa women in Nepal.",Province 1,Solukhumbu,Khumbu Pasang Lhamu,Khumbu,Spring 8000 (NRs),Spring 400 (USD)
AMOT,AMOT,https://nepalhimalpeakprofile.org/amotsang-himal,Amotsang,Amatson,28.834722222222226,84.1725,6392.0,20974.0,Opened,,,,Gandaki Pradesh,Manang,Nar Phu,Damodar,Spring 4000 (NRs),Spring 250 (USD)
AMP1,AMPH,https://nepalhimalpeakprofile.org/amphu-i,Amphu I,,27.87027777777778,86.95555555555556,6840.0,22113.0,Opened,09/10/2013,"Ahn,Evn,An,Young,Kim,Mi,Oh,Hoon,Korea,Republic of  , ",Amphu I is located in the Mahalangur range of the Nepalese Himalayas.,Province 1,Solukhumbu,Khumbu Pasang Lhamu/Mahakulung,Mahalangur,Spring 5000 (NRs),Spring 400 (USD)
AMPG,AMPG,,Amphu Gyabjen,Amphu Gyabien,27.881117,86.868071,,,,,,Amphu Gyabjen (5 647m/18 527ft a.s.l.) is a mountain in the Himalayas in Nepal. The prominence is 305m/1 001ft.By elevation Amphu Gyabjen is# 73 out of 83 in Sagarmatha National Park# 88 out of 99 in SolukhumbuBy prominence Amphu Gyabjen is# 42 out of 83 in Sagarmatha National Park# 84 out of 212 in Eastern Development Region# 55 out of 99 in Solukhumbu,Province 1,Solukhumbu/NC,,,,
AMPM,AMPM,,Amphu Middle,Amphu North,27.871873,86.910537,,,Opened,,,"Amphu Middle is a six-thousander in the Khumbu Himal in north- eastern Nepal . The 6238 m [1] high mountain is located between the Chhukhung Glacier in the west and the Amphu Labtsa Glacier in the east. Immediately to the east of the mountain is a commonly climbed pass, the 5780 m high Amphu Labtsa . It connects the Hongu and Imja valleys. Directly opposite it to the north is Island Peak , to the west is Ama Dablam , and to the east is Baruntse. The mountain has three prominent peaks, of which the middle one, to the west and north of the other two, is the highest point of the mountain at 6238 m.",Province 1,Solukhumbu,Khumbu Pasang Lhamu/Mahakulung,Mahalangur,"Spring 5000, Autumn 2500, Winter/Summer 1250","Spring 400, Autumn 200, Winter/Summer 100"
ANID,ANID,https://nepalhimalpeakprofile.org/anidesh-chuli,Anidesh Chuli (White Wave),White Wave,27.71861111111111,88.07083333333333,6960.0,22336.0,Opened,,,"Anidesh Chuli is situated in the Kanchenjunga mountain range of Eastern Nepal bordering Sikkim (India). Anidesh Chuli (White Wave) is part of the western edge of the Kanchenjunga massif. Anidesh Chuli is a beautiful icy peak on the side ridge separating the Kumbhakarna Glacier and Ramtang Glacier. Anidesh Chuli has an altitude of 6808 meters. Anidesha Chuli is the Nepali name of this peak, and previously, Anidesh Chuli was known as White Wave. Anidesh Chuli is 4.6km west of Khangbachen peak and 4.5km south west of Ramtang peak. Kumbhakarna peak is 4.8 km south west of Anidesh Chuli.",Province 1,Taplejung,Phaktanglung,Kanchenjunga,Spring 5000 (NRs),Spring 400 (USD)
ANN1,ANN1,https://nepalhimalpeakprofile.org/annapurna-i,Annapurna I,,28.595555555555556,83.82249999999999,8091.0,26545.0,Opened,03/06/1950,"Maurice Herzog  (France),Louis Lachenal (France)","Mount Annapurna I is the tenth highest mountainin the world at 8,091 metres
(26,545 ft). It is in the Annapurna massif of Nepal Himalayas. Annapurna
massif includes many peaks over 7,000 metres. The massif is bounded by the
Kali Gandaki Gorgeto the west, the Marshyangdi Riverin the north and east,
and by Pokhara Valleyin the south. At the western end, the massif encloses a
high basin called the Annapurna Sanctuary.
In 1950, Maurice Herzogled a French expedition to its summit, making it the
first of the eight-thousandersto be successfully climbed. The Annapurna peaks
are among the world's most dangerous mountains to climb. The mountain is
named after Annapurna, the Hindu goddess of food and nourishment, who is
said to reside there. The name Annapurna is derived from the
Sanskritlanguage—purnameans filled and annameans food.
Annapurna I is located on the border of Myagdi and Kaski districts in Gandaki
province of Nepal. Annapurna I is 6.1 km west northwest of Singu Chuli.
Khangsar Khang West is 4.0 km east northeast and Varaha Shikhar is 2.7 km
south southwest of Annapurna I.",Gandaki Pradesh,Myagdi/Kaski,Annapurna/Annapurna,Annapurna,Spring 10000 (NRs),Spring 1800 (USD)
