PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
AMAD,Ama Dablam,Amai Dablang,Khumbu Himal,6814,22356,12,2,True,False,False,,,1,2,"Other map altitudes:
   6814m - HMG-MT, HMG-Finn, Shangri La 
   6828m - NGS/Washburn Everest, Kielkowski
   6856m - Nepa, Schneider, Japan MMW

Altitude milestones on Ama Dablam:

   5950m - Yellow Tower
   6050m - Grey Tower
   6150m - Mushroom Ridge
   6600m - Avalanche site",1961,1,AMAD61101,Mar 13,"New Zealand, USA, UK","Mike Gill, Wally Romanes, Barry Bishop, Michael Ward",,,"W Face (High 126:5 May 1993)
SE Face (High 144:38 Nov 1994)
NW Face (High 167:66 Jul 1996)
NE Face (High 218:77 Jan 2001)
NW Face (AAJ 71:6 1997) (Slovene 1996 route) 
SE Face (AAJ 69:240 1995)
SW Side (AAJ 64:225 1990)
NE Face (AAJ 58:236 1984, 60:222 1986, 61:33 1987)
W Face (AAJ 61:229 1987) (various routes)
W Side (AAJ 57:1 1983)
S Ridge/SW Face (AAJ 53:450 1980)"
AMPG,Amphu Gyabjen,Amphu Gyabien,Khumbu Himal (N of Ama Dablam),5630,18471,12,2,True,False,False,,Opened in 2002,1,2,"Other map altitudes:
   5630m - HMG-Finn, Nepa, Shangri La
   5647m - HMG-MT, NGS/Washburn Everest, Kielkowski
   5650m - Schneider, Japan MMW",1953,1,AMPG53101,Apr 11,UK,"John Hunt, Tom Bourdillon",,,
ANN1,Annapurna I,,Annapurna Himal,8091,26545,1,5,True,False,False,,,1,2,"Other map altitudes:
   8091m - HMG-MT, HMG-Finn, Nepa, Shangri La, Schneider, Japan MMW, Leomann",1950,1,ANN150101,Jun 03,France,"Maurice Herzog, Louis Lachenal",,Dyhrenfurth history 1950-1977 (MM 58:44-47 Nov 1977),"S Face (High 122:3 Jan 1993) (Beghin accident)
N Face (High 205:72 Dec 1999)
N Side (MM 88:41 Nov 1982)
NW Face (MM 58:46 Nov 1977)
S Face (MM 58:46 Nov 1977)
S Face (MM 12:20 Nov 1970) (Bonington route)
W Face (AAJ 66:220 1992) (various routes)"
ANN2,Annapurna II,,Annapurna Himal,7937,26040,1,5,True,False,False,,,1,2,"Other map altitudes:
   7937m - HMG-MT, HMG-Finn, Nepa, Shangri La, Schneider, Japan MMW, Leomann",1960,1,ANN260101,May 17,"UK, Nepal","Richard Grant, Chris Bonington, Ang Nyima Sherpa",,Dyhrenfurth history 1960-1976 (MM 51:36-37 Sep 1976),N Face (MM 51:36 Sep 1976)
ANN3,Annapurna III,,Annapurna Himal,7555,24787,1,5,True,False,False,,,1,2,"Other map altitudes:
   7555m - HMG-MT, HMG-Finn, Nepa, Shangri La, Schneider, Japan MMW, Leomann",1961,1,ANN361101,May 06,India,"Mohan S. Kohli, Sonam Gyatso, Sonam Girmi",,,"S Side (MM 125:11 Jan 1989)
SW Face (MM 71:13 Jan 1980)
S Buttress (AAJ 58:249 1984)
W Face (AAJ 53:60 1979)
SW Face (High 228:80 Nov 2001)  "
ANN4,Annapurna IV,,Annapurna Himal,7525,24688,1,5,True,False,False,,,1,2,"Other map altitudes:
   7525m - HMG-MT, HMG-Finn, Nepa, Shangri La, Schneider, Japan MMW, Leomann",1955,1,ANN455101,May 30,W Germany,"Heinz Steinmetz, Harald Biller, Juergen Wellenkamp",,,"SW Pillar (High 198:40 May 1999) 
SW Side (AAJ 73:367 1999)"
ANNE,Annapurna I East,,Annapurna Himal (ENE of Annapurna I),8026,26332,1,5,True,False,False,,Requires permit for Annapurna I,1,2,"Other map altitudes:
   8000m - Leomann",1974,1,ANNE74101,Apr 29,Spain,"Jose Manuel Anglada Nieto, Jorge Pons Sangines, Emilio Givis Abad",,,N Side (MM 88:41 Nov 1982)
ANNM,Annapurna I Middle,,Annapurna Himal (ENE of Annapurna I),8051,26414,1,5,True,False,False,,Requires permit for Annapurna I,1,2,"Other map altitudes:
   8013m - HMG-Finn
   8051m - Leomann",1980,3,ANNM80301,Oct 03,W Germany,"Udo Boening, Ludwig Greissl, Heinz Oberrauch",,,
ANNS,Annapurna South,"Annapurna Dakshin, Moditse",Annapurna Himal (S of Annapurna I and Fang),7219,23684,1,5,True,False,False,,,1,2,"Other map altitudes:
   7219m - HMG-MT, HMG-Finn, Nepa, Schneider, Japan MMW, Leomann
   7220m - Shangri La",1964,3,ANNS64301,Oct 15,"Japan, Nepal","Shiochiro Uyeo, Mingma Tsering Sherpa",,,"S Face (High 155:9 Oct 1995)
S Face (AAJ 69:256 1995) (Russian 1994 route)
E Rib of S Face (AAJ 63:218-220 1989) (Polish 1988 route)
W Face (AAJ 53:625 1980) (Polish 1979 route)
S Ridge (AAJ 53:275 1979)"
APIM,Api Main,,Api Himal,7132,23399,2,7,True,False,False,,,1,2,"Other map altitudes:
   7132m - HMG-MT, HMG-Finn, Japan MMW, Leomann

Api was erroneously called Nampa by Heim & Gansser after their exploration in 1936.",1960,1,APIM60101,May 10,"Japan, Nepal","Katsutoshi Hirabayashi, Gyaltsen Norbu Sherpa",1st ascent claimed by UK (H. S. Landor) in 1899 but probably reached only 5000m,,"SE Face (High 175:82 Jun 1997)
SE Face (AAJ 71:15 1997) (Slovene 1996 route)
S Face/E Ridge (AAJ 53:279 1979)
NW Ridge (HJ 41:59 1983-84)
N Side (AAJ 59:424 Nov 1954)

Api-Nampa-Saipal Map (Ghiglione, pg 160)
Api-Nampa Relief Map (AAJ 59:427 Nov 1954)"
APIW,Api West,,Api Himal (W of Api),7076,23215,2,7,True,False,False,,,1,1,"Other map altitudes:
   7076m - HMG-Finn
   7100m - HMG-MT, Japan MMW, Leomann",,0,,,,Unclimbed,,,
