EXPID,PEAKID,YEAR,SEASON,HOST,ROUTE1,ROUTE2,ROUTE3,ROUTE4,NATION,SUCCESS1,SUCCESS2,SUCCESS3,SUCCESS4,SMTDAYS,TOTDAYS,TERMDATE,TERMREASON,SKI,PARAPENTE,TOTMEMBERS,SMTMEMBERS,MDEATHS,TOTHIRED,SMTHIRED,HDEATHS,O2USED,COMRTE,STDRTE,PRIMRTE,CAMP_HEIGHTS,CAMP_SITES_LIST,NUM_CAMPS,TERMREASON_STRING,YEAR_SEASON_DATE,PKNAME,PKNAME2,LOCATION,HEIGHTM,REGION,OPEN,PSTATUS,NAME,ALTERNATE_NAMES,LAT,LON,ELEVATION_M
ANN284101,ANN2,1984,1,1,S Face,,,,Japan,0,0,0,0,20,23,1984-04-05,5,0,0,3,0,0,0,0,0,0,0,False,False,"['2600', '4700', '5900', '5800', '6000']","[('BC(13/03,2600m),', ''), ('ABC(24/03,4700m),', ''), ('C1(29/03,5900m),', ''), ('C2(01/04,5800m),', '')]",4,"Bad conditions (deep snow, avalanching, falling ice, or rock)",1984-03-01,Annapurna II,,Annapurna Himal,7937,5,True,2,Annapurna II,,28.534722222222225,84.12416666666665,7937.0
ANN295301,ANN2,1995,3,1,NW Ridge of Annapurna IV,,,,Yugoslavia,0,0,0,0,12,14,1995-10-29,4,0,0,3,0,0,0,0,0,0,0,False,False,"['4600', '5600', '6483', '6483']","[('BC(15/10,4600m),', ''), ('C1(23/10,5600m),', ''), ('C2(27/10,6483m),', '')]",3,"Bad weather (storms, high winds)",1995-08-31,Annapurna II,,Annapurna Himal,7937,5,True,2,Annapurna II,,28.534722222222225,84.12416666666665,7937.0
ANN207401,ANN2,2007,4,1,NW Ridge via Annapurna IV's NW Face,,,,Germany,1,0,0,0,19,23,2008-02-08,1,0,0,1,1,0,3,3,0,0,0,False,False,"['5000', '5800', '4600', '7400', '7600']","[('BC(16/01,5000m),', ''), ('ABC(28/01,5800m),', ''), ('Biv(31/01,4600m),', ''), ('Biv(02/02,7400m),', ''), ('C1(03/02,7600m),', '')]",5,Success (main peak),2007-11-30,Annapurna II,,Annapurna Himal,7937,5,True,2,Annapurna II,,28.534722222222225,84.12416666666665,7937.0
ANN208101,ANN2,2008,1,1,NW Ridge-W Ridge,,,,USA,0,0,0,0,17,18,2008-05-18,5,1,0,4,0,0,0,0,0,0,0,False,False,"['4750', '5425', '5700', '6100', '6125']","[('BC(30/04,4750m),', ''), ('C1(07/05,5425m),', ''), ('C2(13/05,5700m),', ''), ('C3(15/05,6100m),', '')]",4,"Bad conditions (deep snow, avalanching, falling ice, or rock)",2008-03-01,Annapurna II,,Annapurna Himal,7937,5,True,2,Annapurna II,,28.534722222222225,84.12416666666665,7937.0
ANN208301,ANN2,2008,3,1,NW Ridge of Annapurna IV,,,,Croatia,0,0,0,0,12,22,2008-10-25,4,0,0,12,0,0,4,0,0,0,0,False,False,"['4700', '5700', '6500', '6900', '7200']","[('BC(03/10,4700m),', ''), ('C1(06/10,5700m),', ''), ('C2(12/10,6500m),', ''), ('C3(14/10,6900m),', '')]",4,"Bad weather (storms, high winds)",2008-08-30,Annapurna II,,Annapurna Himal,7937,5,True,2,Annapurna II,,28.534722222222225,84.12416666666665,7937.0
ANN216301,ANN2,2016,3,1,,,,,UK,0,0,0,0,0,0,,7,0,0,2,0,0,0,0,0,0,0,False,False,[],"[('BC(3200m),', ''), ('C1(4900m),', ''), ('C2(6200m),', '')]",3,"Illness, AMS, exhaustion, or frostbite",2016-08-30,Annapurna II,,Annapurna Himal,7937,5,True,2,Annapurna II,,28.534722222222225,84.12416666666665,7937.0
ANN484301,ANN4,1984,3,1,N Face (to 6800m),NW Ridge (to 5300m),,,Italy,0,0,0,0,8,13,1984-10-11,8,0,0,9,0,0,2,0,0,0,0,False,False,"['4300', '5300', '6400', '6800', '4800', '5300']","[('BC(28/09,4300m),', ''), ('C1(01/10,5300m),', ''), ('C2(04/10,6400m),', ''), ('', 'xxx'), ('', 'm'), ('', 'NW'), ('', 'Ridge'), ('C1(08/10,4800m),', ''), ('C2(09/10,5300m),', '')]",9,"Lack (or loss) of supplies, support or equipment",1984-08-30,Annapurna IV,,Annapurna Himal,7525,5,True,2,Annapurna IV,,28.53666666666667,84.085,7525.0
ANN495102,ANN4,1995,1,1,,,,,Australia,0,0,0,0,0,0,,11,0,0,4,0,0,0,0,1,0,0,False,False,[],[],0,Did not reach base camp,1995-03-02,Annapurna IV,,Annapurna Himal,7525,5,True,2,Annapurna IV,,28.53666666666667,84.085,7525.0
ANN495301,ANN4,1995,3,1,NW Ridge,,,,Germany,0,0,0,0,10,15,1995-10-30,5,0,0,4,0,0,2,0,0,1,0,False,False,"['4600', '5600', '6483']","[('BC(15/10,4600m),', ''), ('C1(24/10,5600m),', '')]",2,"Bad conditions (deep snow, avalanching, falling ice, or rock)",1995-08-31,Annapurna IV,,Annapurna Himal,7525,5,True,2,Annapurna IV,,28.53666666666667,84.085,7525.0
ANN404301,ANN4,2004,3,1,NW Ridge,,,,Germany,0,0,0,0,8,10,2004-11-28,5,0,0,10,0,0,3,0,0,0,0,False,False,"['3100', '4775', '5400', '6000']","[('BC(18/11,3100m),', ''), ('ABC(19/11,4775m),', ''), ('C1(23/11,5400m),', '')]",3,"Bad conditions (deep snow, avalanching, falling ice, or rock)",2004-08-30,Annapurna IV,,Annapurna Himal,7525,5,True,2,Annapurna IV,,28.53666666666667,84.085,7525.0
