PEAKID,PKNAME,YEAR,HOST,LAT,LON,HEIGHTM,COMRTE,ROUTE_SUCCESS,ROUTE_HIGHPOINT,ROUTE
ANN2,Annapurna II,1960,1,28.534722222222225,84.12416666666665,7937,Not Known,1,,NW Ridge-W Ridge
ANN2,Annapurna II,1969,1,28.534722222222225,84.12416666666665,7937,Not Known,1,,NW Ridge-W Ridge
ANN2,Annapurna II,1973,1,28.534722222222225,84.12416666666665,7937,Not Known,1,,W Ridge-N Face
ANN2,Annapurna II,1978,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,N Face-W Ridge
ANN2,Annapurna II,1979,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,N Face-W Ridge
ANN2,Annapurna II,1980,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,N Face-W Ridge
ANN2,Annapurna II,1980,1,28.534722222222225,84.12416666666665,7937,Not Known,0,(to 6000m),SE Spur
ANN2,Annapurna II,1981,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,NW Ridge-W Ridge
ANN2,Annapurna II,1981,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,S Ridge/SE Face
ANN2,Annapurna II,1982,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,S Face
ANN2,Annapurna II,1983,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,N Face-W Ridge
ANN2,Annapurna II,1983,1,28.534722222222225,84.12416666666665,7937,Not Known,1,,S Face-S Spur
ANN2,Annapurna II,1983,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,N Face-W Ridge
ANN2,Annapurna II,1983,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,N Face-W Ridge
ANN2,Annapurna II,1984,1,28.534722222222225,84.12416666666665,7937,False,0,,S Face
ANN2,Annapurna II,1984,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,SW Ridge
ANN2,Annapurna II,1985,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,S Face
ANN2,Annapurna II,1986,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,N Face-W Ridge
ANN2,Annapurna II,1986,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,NW Ridge-W Ridge
ANN2,Annapurna II,1987,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,S Face
ANN2,Annapurna II,1990,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,N Face
ANN2,Annapurna II,1989,1,28.534722222222225,84.12416666666665,7937,Not Known,1,,W Ridge from N
ANN2,Annapurna II,1995,1,28.534722222222225,84.12416666666665,7937,False,0,,NW Ridge of Annapurna IV
ANN2,Annapurna II,1996,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,N Face of Annapurna II-IV
ANN2,Annapurna II,1978,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,S Face-W Ridge
ANN2,Annapurna II,1974,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,W Ridge
ANN2,Annapurna II,1950,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,Reconnaissance
ANN2,Annapurna II,1953,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,Reconnaissance from S
ANN2,Annapurna II,1953,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,S Face
ANN2,Annapurna II,1971,1,28.534722222222225,84.12416666666665,7937,Not Known,0,,N Face
ANN2,Annapurna II,2007,1,28.534722222222225,84.12416666666665,7937,False,1,,NW Ridge via Annapurna IV's NW Face
ANN2,Annapurna II,2008,1,28.534722222222225,84.12416666666665,7937,False,0,,NW Ridge-W Ridge
ANN2,Annapurna II,2008,1,28.534722222222225,84.12416666666665,7937,False,0,,NW Ridge of Annapurna IV
ANN4,Annapurna IV,1950,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1952,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1953,1,28.53666666666667,84.085,7525,Not Known,0,,Reconnaissance from S
ANN4,Annapurna IV,1953,1,28.53666666666667,84.085,7525,Not Known,0,,S Face
ANN4,Annapurna IV,1955,1,28.53666666666667,84.085,7525,Not Known,1,,NW Ridge
ANN4,Annapurna IV,1957,1,28.53666666666667,84.085,7525,Not Known,1,,NW Ridge
ANN4,Annapurna IV,1960,1,28.53666666666667,84.085,7525,Not Known,1,,NW Ridge
