ID,URL,NAME,ALTERNATE_NAMES,LAT,LON,ELEVATION_M,ELEVATION_FT,STATUS,FIRST_ASCENT_ON,FIRST_ASCENT_BY,DESCRIPTION,PROVINCE,DISTRICT,MUNICIPALITY,RANGE,NEPALESE_FEES,FOREIGNER_FEES
SGRM,https://nepalhimalpeakprofile.org/sagarmatha,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86,29032.0,Opened,29/05/1953,"Tenzing Norgay Sherpa (Nepal),Edmund Hillary (New Zealand)","Mount Everest has long been revered by the local people. It has the most
common Tibetan name, Chomolungma, meaning “Goddess Mother of the
World” or “Goddess of the Valley.” The Sanskrit or Nepali name
“Sagarmatha” literally means “Peak of Heaven.” Its identity as the highest
point on the Earth’s surface was not recognized until 1852. The fact was
revealed by the governmental Survey of India in 1852. In 1865, the mountain
referred to as Peak XV was renamed as Mount Everest in honour of Sir
George Everest, the British surveyor general of India from 1830 to 1843.
Mount Everest is part of the longest Himalayan range, Mahalangur range, of
the Nepal Himalayas. It is at an elevation of 8,848 m in Khumjung Village
Development Committee under Khumbu Pasang Lhamu rural municipality in
Solukhumbu District in Eastern Development Region of Nepal. It is open for
expeditions. It takes approximately 84 days to summit the peak. A flight to
Lukla is the entry point for Sagarmatha. Sir Edmund Hillary and Tenzing
Norgay Sherpa were the first to ascent the highest peak on May 29, 1953.
The caravan route for Sagarmatha begins from Lukla to Jorsalle to Namche to
Khumjung to Pheriche to Lobuche to Gorakshep and finally to the Base Camp.
The total distance of the caravan route through Pheriche is 51.2 km. The total
climbing route is 11.2 km. The nearest settlement to Sagarmatha is Lobuche at
a distance of 8.3 km. The nearest police post and army post are at Namche at a
distance of 34.1 km. The nearest health post is located at Pheriche which is
51.2 km from Sagarmatha. The nearest tourist post to the peak is situated at
Lukla which is 51.2 km away.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Khumbu,Normal Route Spring 75000 (NRs),Normal Route Spring 11000 (USD)
KANM,https://nepalhimalpeakprofile.org/kanchenjunga-main,Kanchenjunga Main,,27.702777777777776,88.15,8586.0,28169.0,Opened,25/05/1955,"George Band,Joe Brown","Mount Kanchenjunga Main is the third highest mountain peak in the world. It
has an elevation of 8,586 m (28,169 ft) in a section of the Himalayas called  the
Kangchenjunga mountain range  delimited in the west by the   Tamur River , in
the north by Jongsang La and Nepal-China border. Kanchenjunga Main is on
the border of Phaktanglung and Sirijanga rural municipality in Taplejung
district and India. Kanchenjunga Main is 1.1 km east southeast from Yalung
Khang and 0.8 km north northwest from Kanchenjunga Central.
Until 1852, Kangchenjunga was  assumed to be the highest mountain in the
world, but calculations based on various readings and measurements made by
the  Great Trigonometrical Survey of India in 1849 came to the conclusion that
 Mount Everest, known as Peak XV at that time, was the highest. Allowing for
further verification of all calculations, it was officially announced in 1856 that
Kangchenjunga was the third highest mountain in the world.

Kangchenjunga was first successfully climbed on 25 May, 1955 by Joe Brown
and George Band, who were part of a British  expedition . They stopped short of
the summit in accordance with the promise given to the  Chogyal that the top of
the mountain would remain intact. Every climber or climbing group that has
reached the summit has followed this tradition.",Province 1,Taplejung/NI,Phaktanglung/NI,Kanchenjunga,Sp 10000 (NRs),Sp 1800 (USD)
LHOT,https://nepalhimalpeakprofile.org/lho-tse,Lho Tse,,27.961944444444445,86.93666666666667,8516.0,27940.0,Opened,18/05/1956,"Fritz Luchsinger,Ernst Reiss","Mount LhoTse is the fourth highest mountain in the world after Mt Everest, Mt
K2, and Mt. Kanchenjunga. LhoTse in Tibetan mean the “South Peak”. The
peak elevates to a height of 8516 m. LhoTse lies in Khumjung Village
Development Committee under Khumbu Pasang Lhamu rural municipality of
Solukhumbu District in the Eastern Development Region of Nepal. It is open
for expedition. It takes approximately 60 days to climb LhoTse. A flight to
Lukla is the entry point for LhoTse. Ernst Reiss and Fritz Luchsinger were the
firsts to ascent the LhoTse peak on May 18, 1956.
The caravan route for LhoTse begins from Lukla to Jorsalle to Namche to
Khumjung to Pheriche to Lobuche to Gorakshep and finally to the Base Camp.
The total distance of the caravan route through Pheriche is 51.1 km. The total
climbing route length is 10.6 km.
The nearest settlement to LhoTse is Lobuche at a distance of 8.3 km. The
nearest army and police post to LhoTse are at Namche which is 34.1 km away.
The nearest health post is in.Pheriche at a distance of 14.9 km.The nearest
tourist post to the peak is in Lukla which is at a distance of 51.1 km.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Khumbu,Rs (NRs), (USD)
YALU,https://nepalhimalpeakprofile.org/yalung-khang,Yalung Khang,Yalungkar,27.705,88.13861111111112,8505.0,27903.0,Opened,14/05/1973,"Yutaka Ageta,Takao Matsuda","Mount YalungKhang is situated in the Kanchenjunga mountain range of Nepal.
YalungKhang is in Phaktanglung rural municipality of Taplejung district. The
elevation of YalungKhang is 8,505 meters. It is the 2nd highest peak on the
Kanchenjunga mountain range of Nepal. YalungKhang is 1.1 km west
northwest of Kanchenjunga Main peak and 1.3 km east of YalungKhang West.",Province 1,Taplejung,Phaktanglung,Kanchenjunga,Spring 10000 (NRs),Spring 1800 (USD)
KANC,https://nepalhimalpeakprofile.org/kanchenjunga-central,Kanchenjunga Central,,27.69611111111111,88.15333333333334,8476.0,27799.0,Opened,22/05/1978,"Wojciech Branski,Zygmunt Heinrich,Kazimierz Olech","Mount Kanchenjunga Central, the fourth highest mountain peak in the world,
lies in the Kanchenjunga mountain range of Nepal. Kanchenjunga Central is on
the border of Province I of Nepal and India. The elevation of Kanchenjunga
Central is 8,473 meters. It is on the border of Sirijanga rural municipality of
Taplejung district of Nepal and India. Kanchenjunga Central is 0.8 km south
southeast of Kanchenjunga Main and 0.5 km north northwest of Kanchenjunga
south.",Province 1,Taplejung/NI,Phaktanglung/NI,Kanchenjunga,Sp 10000 (NRs),Sp 1800 (USD)
KANS,https://nepalhimalpeakprofile.org/kanchenjunga-south,Kanchenjunga South,,27.692222222222224,88.1563888888889,8476.0,27808.0,Opened,19/05/1978,"Eugeniusz Chrobak,Wojciech Wroz",,Province 1,Taplejung/NI,Phaktanglung/NI,Kanchenjunga,Sp 10000 (NRs),Sp 1800 (USD)
MAK1,https://nepalhimalpeakprofile.org/makalu-i,Makalu I,,27.890887,87.08841,8463.0,27766.0,Opened,15/05/1955,"Jean Couzy,Lionel Terray","Mount Makalu, the fifth highest mountain in the world, located in the
Mahalangur range of the Nepal Himalayas, southeast of Mount Everest is in the
border between Nepal and Tibet. Makalu is an isolated peak which is shaped
like a four-sided pyramid. Makalu I and Makalu II are the two notable
subsidiary peaks of Makalu lying 3 km north-northwest of the main summit.
The peak elevates to a height of 8,463 m. Makalu I lies in Makalu Village
Development Committee under Makalu rural municipality of Sankhuwasabha
District in Eastern Development Region of Nepal. It is open for expeditions. It
takes approximately 75 days to summit Makalu I. A flight to Tumlingtar is the
entry point for Makalu I. Jean Couzy and Lionel Terray were the first
mountaineers to successfully ascend the peak on May 15, 1955.

The caravan route for Makalu I begins from Tumlingtar to Bamling to Seduwa
to Sadema to KaloPokhari and finally to the Base Camp. The total distance of
the caravan route through Tumlingtar is 93.7 km.
The total climbing route length is 5.8 km. The nearest settlement to Makalu I is
at Sadema at a distance of 41.4 km .The nearest health post to the peak is in
Murmi Danda which is at 48.6 km away.",Province 1,Sankhuwasabha/NC,Makalu/NC,Mahalangur,Rs (NRs), (USD)
LHOM,https://nepalhimalpeakprofile.org/lho-tse-middle,Lho Tse Middle,Lhotse Intermediate,27.961111111111112,86.94083333333333,8413.0,27592.0,Opened,23/05/2001,"Sergei Timofeev,Alexei Bolotov,Piotr Kouznetsov,Evgeni Vinogradski","Mount LhoTse Middle is the subsidiary peak to Lhotse and the last peak to be
listed as an eight thousander. The peak elevates to a height of 8,410 m. LhoTse
Middle lies in Khumjung Village Development Committee under Khumbu
Pasang Lhamu rural municipality of Solukhumbu District in Eastern
Development Region of Nepal. It is open for expeditions. It takes
approximately 60 days to climb LhoTse Middle. A flight to Lukla is the entry
point for LhoTse Middle. Sergei Timofeev, Alexei Bolotov, PiotrKouznetsov
and EvgeniVinogradski were the firsts to make its successful ascent on May
23, 2001.
The caravan route for LhoTse Middle begins from Lukla to Jorsalle to Namche
to Khumjung to Pheriche to Lobuche to Gorakshep and finally to the Base
Camp. The total distance of the caravan route through Pheriche is 51.1 km. The
total climbing route length is 12.9 km.
The nearest settlements to the LhoTse Middle is in Lobuche which is situated
8.3 km away. The nearest police and army posts to the LhoTse Middle is in
Namche at a distance of 34.1 km. The nearest health post to the LhoTse Middle
is in Pheriche at 14.9 km. The nearest tourist post to the peak is in Lukla at a
distance of 51.1 km.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Mahalangur,Rs (NRs), (USD)
LHOS,https://nepalhimalpeakprofile.org/lho-tse-shar,Lho Tse Shar,Lhotse II,27.958333333333332,86.94555555555556,8400.0,27559.0,Opened,12/05/1970,"Josef Mayerl,Rolf Walter","Mount LhoTse Shar is the subsidiary mountain of Lhotse, located to the south
of Mt. Everest. It is 11 th highest peak on Earth. The peak elevates to a height of
8,400 m. Mount LhoTse Shar lies in Khumjung Village Development
Committee under Khumbu Pasang Lhamu rural municipality of Solukhumbu
District in Eastern Development Region of Nepal. It is open for expeditions. It
takes approximately 56 days to climb LhoTseShar. A flight to Lukla is the
entry point for LhoTse Shar. Josef Mayerl and Rolf Walter were the first to
ascendit successfully on May 12, 1970.
The caravan route for LhoTse Shar begins from Lukla to Jorsalle to Namche to
Khumjung to Pangboche to Dingboche and finally to the Base Camp. The total
distance of the caravan route through Dingboche is 39.1 km. The total climbing
route length is 12.1 km.
The nearest settlement to the peak is Dingboche at a distance of 3.8 km. The
nearest army, police and health postsare in Namche which is locatedat a
distance of 22.1 km. The nearest tourist post to the peak is 39.1 km away at
Lukla.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Khumbu,Rs (NRs), (USD)
CHOY,https://nepalhimalpeakprofile.org/cho-oyu,Cho Oyu,,28.096408,86.6595,8201.0,26906.0,Opened,19/10/1954,"Herbert Tichy,Sepp Jeochler,Pasang Dawa Lama","Mount Cho Oyu is the world’s sixth highest mountain. In the Tibetan language
Cho Oyu means “Turquoise Goddess”. This is the westernmost major peak in
the Khumbu Sub region along the Mahalangur range. Cho Oyu stands on the
border between Nepal and China.
The peak lies in the Mahalangur sub range of the Nepal Himalayas. It is located
in the Khumjung Village Development Committees under Khumbu Pasang
Lhamu rural municipality in the Solukhumbu District of Eastern Nepal. It
elevates to a height of 8,201 m or 26,906 feet. The latitude and longitude of the
peak are 28.0936 in the North and 86.6634 in the East respectively. The peak is
open for expeditions and it takes approximately 56 days to ascent the peak
successfully.
The caravan route for Cho Oyu begins from Lukla to Nurning to Jorsalle to
Namche to Khumjung to Machherma to Gokyo and finally to the Base Camp.
The total distance of the caravan route through Gokyo is 39.2 km. The total
climbing route length is 17.5 km.
The nearest settlement to Mount Cho Oyu is in Gokyo. The nearest army,
police and health posts to the peak are in Namche which is at a distance of 22.0
km. The nearest tourist post from the peak is in Lukla whichis 39.2 km away.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Khumbu,Sp 10000 (NRs),Sp 1800 (USD)
