ID,NAME,ALTERNATE_NAMES,LAT,LON,PROVINCE,DISTRICT,DESCRIPTION
AMPG,Amphu Gyabjen,Amphu Gyabien,27.881117,86.868071,Province 1,Solukhumbu/NC,Amphu Gyabjen (5 647m/18 527ft a.s.l.) is a mountain in the Himalayas in Nepal. The prominence is 305m/1 001ft.By elevation Amphu Gyabjen is# 73 out of 83 in Sagarmatha National Park# 88 out of 99 in SolukhumbuBy prominence Amphu Gyabjen is# 42 out of 83 in Sagarmatha National Park# 84 out of 212 in Eastern Development Region# 55 out of 99 in Solukhumbu
FIRN,Firnkopf,"Phirankoph,Firnkopf East",29.901198,81.455305,Karnali Pradesh,Humla/Bajhang,Firnkopf (6 730m/22 080ft a.s.l.) is a mountain in the Himalayas in Nepal. The prominence is 815m/2 674ft.
KANG,Kangchenjunga,,27.702745,88.147392,Province 1,Taplejung/NI,"At an elevation of 8,586 m (28,169 ft.), and with a prominence of 3,922 m (12,867 ft.), Kangchenjunga is the third tallest mountain in the world. It is located in a part of the Himalayas called Kangchenjunca Himal, India. (Due to its prominence above 1,500 m, it is regarded as an Ultra mountain.)The people of Darjeeling and Sikkim have always worshipped Kangchenjunga, also known as, “Five Treasures of Snow,” because of its five high peaks. Climbers customarily stop short of the summit, respecting a promise to the Chogyal (former monarch of Sikkim) not to violate the top of the mountain.By elevation Kangchenjunga is# 1 out of 23 in Chungthang# 1 out of 57 in Sikkim# 3 out of 866 in Nepal# 1 out of 13857 in India# 1 out of 23 in Khangchendzonga National Park# 3 out of 212 in Eastern Development Region# 1 out of 15 in Taplejung# 3 out of 3458 in the HimalayasBy prominence Kangchenjunga is# 1 out of 23 in Chungthang# 1 out of 57 in Sikkim# 2 out of 866 in Nepal# 1 out of 13857 in India# 1 out of 23 in Khangchendzonga National Park# 2 out of 212 in Eastern Development Region# 1 out of 15 in Taplejung# 3 out of 3458 in the Himalayas"
KCHN,Kangchung Nup,"Khangchung Nup,Kangcho Nup,Cholo,Abi Peak",27.983446,86.720046,Province 1,Solukhumbu/NC,Cholo (6 043m/19 826ft a.s.l.) is a mountain in the Himalayas in Nepal. The prominence is 414m/1 358ft.By elevation Cholo is# 57 out of 83 in Sagarmatha National Park# 90 out of 212 in Eastern Development Region# 71 out of 99 in SolukhumbuBy prominence Cholo is# 32 out of 83 in Sagarmatha National Park# 62 out of 212 in Eastern Development Region# 42 out of 99 in Solukhumbu
MAKA,Makalu,,27.890887,87.08841,Province 1,Sankhuwasabha/NC,"Makalu is the fifth highest mountain in the world at 8,485 metres (27,838 ft). It is located in the Mahalangur Himalayas 19 km (12 mi) southeast of Mount Everest, on the border between Nepal and China. One of the eight-thousanders, Makalu is an isolated peak whose shape is a four-sided pyramid.Makalu has two notable subsidiary peaks. Kangchungtse, or Makalu II (7,678 m) lies about 3 km (2 mi) north-northwest of the main summit. Rising about 5 km (3.1 mi) north-northeast of the main summit across a broad plateau, and connected to Kangchungtse by a narrow, 7,200 m saddle, is Chomo Lonzo (7,804 m).By elevation Mount Makalu is# 1 out of 13 in Makalu-Barun National Park# 5 out of 127 in Qomolangma National Nature Preserve# 5 out of 936 in Tibet# 6 out of 866 in Nepal# 6 out of 12241 in China# 5 out of 64 in Tingri County# 6 out of 212 in Eastern Development Region# 1 out of 13 in Sankhuwasabha# 6 out of 3458 in the HimalayasBy prominence Mount Makalu is# 1 out of 13 in Makalu-Barun National Park# 3 out of 127 in Qomolangma National Nature Preserve# 8 out of 936 in Tibet# 7 out of 866 in Nepal# 26 out of 12241 in China# 2 out of 64 in Tingri County# 3 out of 212 in Eastern Development Region# 1 out of 13 in Sankhuwasabha# 14 out of 3458 in the Himalayas"
MARD,Mardi Himal,,28.473554,83.927243,Gandaki Pradesh,Myagdi/Kaski,Mardi Himal (5 553m/18 219ft a.s.l.) is a mountain in the Himalayas in Nepal. The prominence is 160m/525ft.By elevation Mardi Himal is# 18 out of 23 in KaskiBy prominence Mardi Himal is# 79 out of 119 in Annapurna Conservation Area# 15 out of 23 in Kaski
POKA,Pokalde,Dolma Ri,27.924711,86.833132,Province 1,Solukhumbu/NC,"Pokalde Peak (or Dolma Ri) is a mountain peak of Nepal situated 12 km southwest of Mount Everest. Pokalde Peak is one of the shortest and easiest trekking peaks in the Everest Region. The majority of the 650m climb from base camp requires little more than walking with short sections of scrambling up rock.During the trekking seasons this rocky peak is scarcely covered by snow. Despite its lack of any great technical difficulty, it offers trekkers the prospect of reaching 5,800m in elevation and superb views from the summit, particularly to the South East, North West and West. Other prominent mountains visible from the summit include Makalu, Ama Dablam and Pumori. Because of its relatively low difficulty and impressive summit vista's for this altitude, Pokalde is a popular commercial tourist peak in Nepal for those wishing to climb a Himalayan peak without needing to use ice axes and crampons.The first ascent of Pokalde Peak was made in April 1953 via the ridge adjoining the Pokalde summit with the Kongma La high pass (5535m). This ridge continues from Kongma La to the slightly higher Mehra Peak (Kongma Tse) at 5820m and beyond. Hence the prominence of Pokalde Peak is modest at 271m (889 feet). Most ascents of Pokalde Peak nowadays are made by skirting the opposite Makalu side of the mountain.Pokalde Peak can be easily climbed in half a day by a fit and acclimatised group with appropriate leadership. Despite its low difficulty, sections of Pokalde are quite exposed so it shouldn't be attempted in poor weather. Doing so would significantly increase the difficulty of the climb above that of a ""simple trekking peak"". The final pitch to the summit also involves a short section of near vertical scrambling which for amateurs should definitely be protected by rope.The base camp of Pokalde Peak is situated in a raised ""amphitheatre"" style valley with a large circular lake in the middle below the Kongma La pass. About 40 minutes from the base camp is the Kongma glacier. This glacier offers ice walls suitable for ice climbing training by appropriately equipped and motivated groups. The glacier is said to be receding in size.Footprint evidence of significant snow leopard activity has been witnessed in the vicinity of Pokalde Peak base camp. This is despite the popularity of the area in being the gateway to both a major trekking peak as well as a high pass.Even during the trekking seasons, it is not uncommon for overnight temperatures at base camp to be in excess of twenty degrees below freezing.By elevation Pokalde is# 67 out of 83 in Sagarmatha National Park# 82 out of 99 in SolukhumbuBy prominence Pokalde is# 43 out of 83 in Sagarmatha National Park# 85 out of 212 in Eastern Development Region# 56 out of 99 in Solukhumbu"
TSUR,Tsaurabong Peak,"Chara Ban Peak,White Peak",28.688658,83.379796,Gandaki Pradesh,Myagdi,Tsaurabong Peak (6 395m/20 981ft a.s.l.) is a mountain in the Himalayas in Nepal. The prominence is 384m/1 260ft.By elevation Tsaurabong Peak is# 68 out of 216 in Western Development Region# 21 out of 40 in MyagdiBy prominence Tsaurabong Peak is# 80 out of 216 in Western Development Region# 20 out of 40 in Myagdi
KUML,Kumlung,Kang Kuru,28.901021,84.184223,Gandaki Pradesh,Manang/Gorkha,Kang Kuru (6 285m/20 620ft a.s.l.) is a mountain in the Himalayas in Nepal. The prominence is 60m/197ft.By elevation Kang Kuru is# 55 out of 119 in Annapurna Conservation Area# 90 out of 216 in Western Development Region# 28 out of 71 in Mustang# 34 out of 53 in ManangBy prominence Kang Kuru is# 62 out of 71 in Mustang# 49 out of 53 in Manang
GAN7,Ganesh VII,,28.330141,85.142724,Bagmati Pradesh,Dhading/Rasuwa,"Ganesh VII (6 457m/21 184ft a.s.l.) is a mountain in the Himalayas on the border of Nepal, China. The prominence is 194m/636ft.By elevation Ganesh VII is# 77 out of 127 in Qomolangma National Nature Preserve# 14 out of 31 in Gyirong County# 3 out of 23 in Dhading# 36 out of 178 in Central Development RegionBy prominence Ganesh VII is# 92 out of 127 in Qomolangma National Nature Preserve# 23 out of 31 in Gyirong County# 7 out of 23 in Dhading# 92 out of 178 in Central Development Region"
